"AB106","AB107","AB108","AB109","AB110","AB111","AB112","AB113","AB114","AB115","AB116","AB117","AB118","AB119"
"U","G","G","F","G","G","B","F","F","C","C","G","C","C"
"B","G","G","F","G","U","C","H","C","C","C","G","C","C"
"B","G","C","B","G","G","H","F","B","F","B","C","G","H"
"B","G","C","C","G","G","A","H","B","G","C","H","G","C"
"U","F","C","B","G","G","A","F","B","G","B","H","G","C"
"B","G","G","C","C","G","B","F","C","G","C","G","C","G"
"U","G","G","B","G","G","H","G","B","G","B","F","G","B"
"U","U","U","U","G","U","U","U","U","B","C","H","G","U"
"U","G","G","C","G","U","B","A","B","B","B","N","C","U"
"U","U","U","U","G","U","U","U","U","B","F","N","C","C"
"U","G","G","B","G","U","U","F","B","B","C","G","C","U"
"B","F","C","B","G","G","B","F","B","B","B","F","C","U"
"U","G","C","B","G","G","B","H","G","B","C","G","C","U"
"U","G","C","B","G","G","A","G","B","G","C","H","C","C"
"B","G","G","B","G","G","A","H","B","F","C","C","G","C"
"B","F","G","B","G","G","G","H","B","F","B","H","C","H"
"U","G","C","B","G","G","H","G","H","B","B","F","C","U"
"U","F","C","B","G","G","G","F","B","G","C","G","C","B"
"B","G","C","B","G","G","A","C","H","G","B","H","C","C"
"B","G","G","C","C","G","H","H","G","F","C","H","C","C"
"B","G","G","B","C","G","G","A","B","C","C","H","G","C"
"U","G","G","H","G","G","B","F","A","B","B","F","C","C"
"C","G","G","H","G","G","B","G","B","G","B","F","C","C"
"B","G","C","B","G","G","B","G","B","B","C","H","C","C"
"B","G","C","B","G","G","H","G","B","G","B","F","C","U"
"U","F","C","B","G","G","A","A","B","F","B","H","C","B"
"U","G","C","C","G","G","B","F","B","C","C","G","C","C"
"C","C","G","B","C","G","G","G","B","C","B","F","C","C"
"U","F","C","B","G","U","A","A","U","C","B","N","C","H"
"B","G","C","B","G","G","H","H","B","C","C","G","C","C"
"U","F","G","B","G","G","H","G","B","G","B","H","C","C"
"U","G","C","B","G","G","B","F","B","G","C","H","C","B"
"U","G","C","H","G","G","B","H","B","B","C","C","C","C"
"B","G","G","G","G","U","A","H","B","B","B","H","G","H"
"U","G","G","B","G","G","G","H","B","B","B","N","C","G"
"U","F","G","B","G","G","G","F","B","G","B","F","C","C"
"U","G","C","B","G","G","H","G","B","C","C","G","C","B"
"B","F","C","B","G","G","A","H","B","C","C","G","C","G"
"U","G","G","B","G","G","H","F","H","B","C","G","C","G"
"B","G","C","B","G","G","A","A","B","B","C","H","C","G"
"U","F","C","B","C","G","A","A","B","C","B","C","C","U"
"U","C","C","B","G","U","B","A","B","B","C","C","C","G"
"U","G","C","B","G","G","H","C","B","G","C","F","C","C"
"C","G","G","B","G","G","U","F","B","C","C","G","C","C"
"U","G","C","B","G","G","B","F","B","G","C","G","C","C"
"B","F","G","B","G","G","B","H","B","F","B","F","C","B"
"B","G","C","B","G","C","B","A","B","C","C","N","C","C"
"U","G","G","B","G","G","B","F","B","C","C","C","C","C"
"B","G","C","B","G","G","U","G","A","G","C","G","G","G"
"U","G","G","C","G","G","H","H","B","B","B","H","G","C"
"U","F","G","B","G","G","B","A","B","B","B","H","C","H"
"B","F","G","B","G","G","H","H","B","F","B","F","G","H"
"U","F","C","G","G","G","H","G","B","C","B","F","C","G"
"U","G","C","B","G","G","A","A","B","F","B","F","G","C"
"B","G","G","B","G","G","H","G","B","G","C","G","C","G"
"B","G","C","B","G","G","H","A","B","G","C","F","C","G"
"U","G","C","B","G","G","A","H","B","G","B","C","C","C"
"B","G","G","B","G","G","B","F","B","C","C","G","C","C"
"U","F","C","B","G","G","B","A","U","G","B","C","C","H"
"U","G","C","B","C","G","G","H","B","C","C","G","C","B"
"B","G","G","C","G","G","C","F","B","B","C","G","C","C"
"B","G","C","G","G","C","H","H","B","F","B","H","C","G"
"U","F","C","B","G","G","A","A","B","G","B","N","C","B"
"G","G","G","B","G","G","G","H","B","F","C","G","G","G"
"B","G","G","B","G","G","A","G","B","C","C","G","C","C"
"B","G","G","B","G","G","B","H","B","B","C","G","G","C"
"G","G","C","F","G","G","H","G","B","G","B","F","G","C"
"B","G","G","H","G","G","U","C","H","B","B","F","C","C"
"U","F","G","B","G","U","H","A","U","B","B","N","G","U"
"U","G","C","C","C","G","U","H","B","B","B","G","C","C"
"U","F","G","B","G","G","H","F","B","G","C","N","C","G"
"U","F","G","B","G","U","B","A","B","C","B","N","G","H"
"U","G","C","A","G","C","H","F","B","C","C","G","C","C"
"U","G","C","B","G","G","A","G","G","G","B","F","C","C"
"U","G","C","G","C","G","H","G","B","C","C","G","C","C"
"U","G","C","H","G","C","C","H","B","F","C","G","C","C"
"G","G","C","B","G","G","H","A","B","G","C","G","C","C"
"B","G","C","A","G","G","H","G","B","C","C","G","C","C"
"U","F","G","B","G","G","G","H","B","G","B","C","G","C"
"U","C","G","B","G","G","G","A","B","C","B","N","C","C"
"B","F","C","C","G","G","A","H","B","B","B","F","C","C"
"B","G","C","B","G","G","H","G","B","B","B","H","G","C"
"B","F","G","B","G","G","A","H","B","F","B","F","G","G"
"U","G","G","B","G","G","B","H","B","C","C","G","C","G"
"U","F","G","B","G","U","B","F","G","F","B","C","G","C"
"U","G","C","B","G","G","A","H","B","G","B","F","C","C"
"B","G","C","C","G","G","A","G","B","G","B","H","C","G"
"G","F","G","B","G","G","A","A","B","C","C","N","C","G"
"U","G","C","B","G","G","H","A","B","G","B","G","C","B"
"B","G","G","B","C","G","A","G","B","B","B","F","C","C"
"U","G","C","C","G","G","A","H","B","C","C","G","G","C"
"U","G","C","B","G","G","G","A","B","F","B","F","C","B"
"U","F","G","B","G","G","B","A","B","B","B","C","G","C"
"B","G","G","H","G","G","A","G","B","B","B","F","G","C"
"B","G","C","B","G","G","A","F","B","F","C","F","C","C"
"U","G","G","B","G","G","H","G","F","C","C","H","C","C"
"U","F","G","B","G","C","G","F","B","F","B","F","C","C"
"U","F","C","B","G","G","A","F","B","F","B","N","C","C"
"U","G","G","B","G","G","B","H","B","F","B","H","G","B"
"B","G","C","B","G","G","A","G","B","F","C","G","C","G"
"U","G","G","B","G","G","H","H","F","B","B","H","C","C"
"B","G","G","H","G","G","U","G","B","B","B","F","C","C"
"B","G","C","H","G","G","B","F","B","G","C","H","G","B"
"U","G","G","B","G","U","C","H","B","C","B","N","C","U"
"B","G","C","B","G","G","H","F","B","G","C","G","C","C"
"U","G","G","G","G","G","G","H","B","C","C","G","C","U"
"U","F","G","U","G","U","G","U","U","F","F","N","C","U"
"U","G","C","B","G","G","G","A","B","B","B","H","C","C"
"U","G","G","B","G","G","H","G","B","B","C","G","C","C"
"B","G","C","A","G","G","B","H","B","F","B","C","G","C"
"C","G","G","B","C","G","H","H","B","C","B","F","C","C"
"B","G","G","B","G","G","A","A","B","F","B","H","C","C"
"B","G","G","B","C","G","H","A","B","B","C","G","C","H"
"U","F","G","B","C","U","A","A","B","C","B","N","C","U"
"U","G","G","B","C","G","U","C","G","C","C","G","C","U"
"B","G","G","G","G","G","B","H","B","G","C","G","C","G"
"B","G","G","G","G","G","H","H","B","C","C","H","C","C"
"U","G","G","H","G","G","G","H","B","B","B","F","G","U"
"U","G","C","B","C","C","B","H","A","C","B","H","C","B"
"U","G","G","H","G","G","H","C","B","G","C","H","C","C"
"U","F","G","B","G","G","H","F","B","C","C","G","C","C"
"U","F","C","B","G","G","B","A","B","C","B","N","C","C"
"B","G","G","B","C","G","B","C","B","G","B","C","C","B"
"B","F","G","B","G","G","B","A","B","C","C","G","C","C"
"B","F","G","F","G","G","G","H","A","B","B","H","C","C"
"C","G","G","B","G","G","A","A","B","F","B","F","G","C"
"G","F","C","B","G","G","A","A","B","F","C","H","C","C"
"U","F","G","F","G","G","H","H","B","G","B","F","C","B"
"U","F","G","B","G","G","G","H","B","G","C","F","C","C"
"U","F","C","B","G","U","A","A","B","B","B","N","G","U"
"U","C","G","B","G","U","U","A","U","G","C","C","G","U"
"U","F","C","B","G","G","H","F","B","F","C","H","C","B"
"B","G","C","B","G","G","H","F","B","G","C","F","C","C"
"U","F","G","B","G","G","G","G","B","C","C","C","C","H"
"B","G","C","H","G","G","H","H","B","F","C","G","C","C"
"B","G","G","B","G","G","B","A","B","G","B","C","G","C"
"C","G","C","B","G","G","B","H","B","C","B","H","C","B"
"U","G","G","F","G","G","A","G","B","B","C","G","C","G"
"C","G","G","B","G","G","C","F","B","F","C","G","G","G"
"G","G","C","B","G","G","H","G","B","F","C","G","G","C"
"U","U","U","A","C","U","U","H","U","H","C","H","G","U"
"U","F","C","B","G","G","G","G","G","F","B","C","G","C"
"B","G","C","C","C","G","A","F","H","B","B","C","C","C"
"U","G","G","B","C","G","U","A","C","G","C","G","C","G"
"B","G","G","G","G","G","A","C","H","B","B","G","G","C"
"B","F","G","B","G","G","G","G","B","G","B","F","G","H"
"B","G","C","B","G","G","H","A","B","G","B","F","C","U"
"B","G","C","C","G","G","A","C","B","C","C","F","C","C"
"U","G","G","B","G","G","H","F","B","G","B","C","G","C"
"D","G","G","A","C","G","A","F","B","B","C","G","C","G"
"U","G","G","F","G","G","U","B","B","C","B","F","C","C"
"U","C","G","B","G","G","U","A","G","B","B","C","G","C"
"U","F","C","B","G","G","B","H","B","F","B","H","C","B"
"U","G","C","B","G","G","A","G","B","G","C","G","G","C"
"B","G","C","B","G","G","H","H","B","F","C","G","G","C"
"U","G","C","A","C","G","B","F","B","G","C","G","G","C"
"U","G","C","H","G","G","B","H","B","B","B","F","G","B"
