"AB106","AB107","AB108","AB109","AB110","AB111","AB112","AB113","AB114","AB115","AB116","AB117","AB118","AB119"
"U","F","G","B","G","G","G","H","B","C","B","G","C","C"
"U","U","U","U","G","U","U","U","U","G","B","N","C","U"
"B","G","G","B","C","U","U","H","B","C","C","G","C","C"
"B","G","G","B","G","G","G","G","G","B","B","F","C","C"
"U","G","G","B","G","G","B","F","B","G","B","F","C","B"
"B","G","C","B","G","G","U","H","B","B","C","G","C","U"
"U","F","G","B","G","G","A","F","B","C","C","G","C","H"
"U","G","G","B","G","G","H","G","B","F","C","C","C","B"
"U","F","G","B","G","G","A","A","B","B","C","C","C","G"
"U","U","U","U","C","U","U","U","U","F","B","N","C","C"
"U","F","G","C","G","U","B","A","B","C","B","N","C","G"
"C","G","G","B","C","G","G","G","B","G","B","F","G","C"
"U","F","C","B","G","G","B","A","U","B","B","C","C","C"
"U","F","G","C","G","G","H","H","B","C","B","G","C","C"
"G","F","C","B","G","G","H","F","B","F","B","F","G","U"
"U","F","C","B","G","U","U","A","B","G","B","N","G","U"
"B","G","C","B","G","G","H","G","B","H","C","G","C","C"
"U","G","C","B","G","G","A","C","B","F","B","C","G","C"
"B","G","G","B","G","G","A","G","B","B","C","F","C","G"
"U","G","C","B","G","G","A","G","B","F","B","F","C","C"
"U","G","C","B","G","C","B","F","B","B","B","H","C","C"
"U","F","G","B","C","G","B","A","U","C","B","H","C","G"
"U","F","G","B","G","G","G","F","B","B","C","G","C","C"
"U","G","G","B","G","G","G","F","B","C","C","F","C","C"
"U","G","C","B","G","U","H","A","U","G","B","N","C","U"
"U","G","G","B","G","G","H","F","B","G","C","C","G","C"
"U","G","C","B","G","G","A","G","B","G","B","F","C","C"
"U","G","G","B","G","G","A","G","B","C","C","G","C","G"
"U","F","C","B","G","G","C","C","B","G","C","C","C","G"
"B","G","C","B","G","G","A","G","B","H","C","H","C","G"
"B","G","C","B","G","G","B","F","B","G","B","F","G","B"
"U","G","C","B","G","G","H","H","B","G","C","G","C","C"
"U","G","C","B","G","G","H","H","B","C","C","F","C","C"
"U","C","C","B","G","G","A","A","U","B","B","C","G","C"
"B","F","G","B","G","G","C","A","B","F","C","G","G","C"
"U","F","G","C","G","G","G","G","B","G","C","F","G","C"
"U","G","G","A","G","G","B","H","B","F","B","H","G","C"
"U","G","C","B","G","G","B","H","B","B","C","G","C","C"
"U","G","G","B","G","G","H","G","B","G","B","H","C","H"
"U","G","C","C","G","G","A","H","B","C","C","H","C","C"
"C","F","G","B","G","G","H","H","B","F","B","F","C","C"
"U","C","C","B","G","G","A","A","B","F","B","C","G","C"
"U","G","C","B","G","G","B","H","B","F","B","C","C","C"
"B","G","G","C","G","G","A","G","B","C","C","G","C","G"
"B","G","C","B","G","G","H","C","B","C","B","F","C","C"
"U","G","G","B","C","G","B","G","B","G","B","H","C","C"
"U","F","G","B","G","G","G","F","B","C","B","F","C","C"
"U","G","G","F","G","U","A","H","B","G","C","G","G","C"
"U","G","C","B","C","G","H","H","B","F","B","F","C","G"
"U","G","C","B","G","G","A","G","A","G","B","C","G","C"
"B","G","C","B","G","G","A","A","U","B","C","N","C","C"
"U","G","G","B","G","G","H","H","B","F","C","G","C","C"
"U","G","C","A","G","C","B","H","F","C","C","G","C","C"
"U","G","G","B","C","G","G","A","U","G","B","C","C","G"
"U","G","G","B","G","G","A","F","B","G","B","C","C","G"
"U","G","G","B","G","G","B","G","A","F","C","G","C","U"
"B","G","C","H","G","G","H","H","B","G","B","F","G","B"
"U","G","C","B","G","G","A","A","B","C","C","H","C","C"
"U","G","C","B","G","G","A","G","B","G","C","F","C","C"
"U","F","G","B","C","G","G","A","B","F","B","H","G","B"
"C","G","G","B","G","G","G","F","B","C","C","G","C","H"
"U","C","G","B","G","G","H","A","B","B","B","C","G","C"
"B","G","G","B","G","G","A","A","B","C","C","H","G","G"
"U","G","C","B","G","G","B","A","B","F","B","F","C","C"
"U","G","C","B","G","U","C","A","B","C","C","H","G","U"
"U","F","C","B","G","G","H","G","B","B","B","H","C","B"
"U","G","G","A","G","G","A","G","B","F","B","F","G","C"
"U","F","C","B","C","G","H","A","B","G","B","C","C","C"
"U","F","C","A","G","G","U","F","U","B","C","C","G","C"
"B","G","C","F","G","G","B","F","B","B","C","H","C","C"
"U","G","G","B","G","U","C","A","U","B","B","N","C","U"
"U","G","C","B","C","U","H","A","B","C","C","H","C","U"
"U","F","G","B","G","G","A","H","B","C","C","G","C","C"
"B","G","G","B","G","G","B","A","B","F","C","F","C","C"
"B","G","G","G","C","G","B","H","B","F","B","F","C","G"
"U","C","G","B","G","U","U","A","B","F","C","N","C","G"
"U","G","C","B","G","G","C","H","B","G","B","F","C","B"
"U","G","C","B","G","G","A","H","H","C","C","G","C","C"
"U","F","C","B","G","G","A","G","B","F","B","H","C","B"
"B","G","G","B","G","G","G","H","H","C","C","G","C","C"
"U","G","G","B","G","G","H","H","B","B","B","F","C","C"
"U","G","C","B","G","G","A","G","B","G","C","G","C","H"
"U","F","G","B","G","G","H","A","F","C","C","F","C","C"
"U","G","G","B","G","G","G","H","B","G","C","G","G","C"
"U","G","G","B","G","G","H","A","H","F","C","G","C","C"
"U","G","G","B","G","G","H","A","B","G","C","F","C","C"
"U","F","C","B","G","G","B","F","B","F","B","F","G","G"
"C","F","G","B","G","G","B","H","H","G","C","F","G","G"
"U","C","G","B","G","G","A","G","H","F","B","C","C","C"
"U","F","C","B","G","G","H","A","B","G","B","N","C","H"
"U","F","G","B","G","U","G","F","B","F","C","G","C","C"
"U","G","C","B","G","U","A","A","U","B","B","N","C","C"
"U","U","U","B","G","U","U","A","U","G","B","N","G","H"
"U","F","G","B","G","G","G","C","B","F","B","C","C","C"
"U","G","G","B","G","U","C","A","B","B","C","F","G","G"
"U","G","C","B","G","G","H","F","B","F","C","G","G","C"
"A","G","G","B","G","G","G","F","B","F","B","F","G","C"
"B","G","G","C","G","C","H","H","B","F","C","F","C","G"
"U","F","G","B","G","U","B","G","B","C","C","H","C","G"
"B","G","G","B","G","G","H","H","B","C","C","G","C","G"
"U","U","U","A","G","U","U","A","B","C","C","H","C","B"
"C","F","C","B","G","G","G","G","B","F","B","H","C","B"
"U","G","C","B","G","G","A","A","U","B","C","H","C","C"
"B","G","G","B","G","G","H","F","B","F","C","H","G","C"
"B","G","C","C","G","G","A","G","B","G","B","G","C","C"
"B","G","G","A","C","U","B","H","B","F","B","C","C","C"
"U","G","C","A","G","G","A","G","A","B","C","H","G","H"
"B","G","C","H","G","G","A","C","B","C","C","G","C","C"
"B","G","C","B","C","C","H","A","B","B","B","C","C","H"
"B","F","C","B","G","G","H","A","B","B","B","F","C","G"
"U","G","C","B","G","G","A","G","B","B","B","F","C","G"
"U","G","C","B","G","G","A","G","B","C","C","G","C","C"
"U","F","C","B","G","U","U","A","B","C","B","N","C","H"
"U","G","C","F","G","G","B","H","B","G","C","H","G","C"
"U","G","C","B","G","G","A","G","B","F","B","F","G","H"
"B","G","G","H","G","G","B","G","B","F","B","H","G","C"
"U","F","G","B","C","G","B","F","B","C","B","C","C","B"
"B","G","C","B","G","G","H","H","B","F","C","C","C","C"
"U","G","G","B","G","G","G","A","B","G","C","G","C","U"
"U","G","C","B","G","G","H","G","B","F","C","G","C","U"
"U","G","C","B","G","G","A","H","B","B","C","G","C","C"
"B","F","G","B","G","G","G","F","A","F","B","F","C","C"
"B","F","G","B","C","G","H","H","B","C","C","G","G","C"
"U","F","G","B","G","G","H","F","B","B","B","F","C","G"
"U","F","G","U","G","G","B","U","B","B","B","N","G","C"
"U","G","C","B","G","G","A","H","B","B","B","F","G","G"
"C","G","G","F","G","G","B","H","B","F","B","H","C","B"
"G","G","G","B","G","G","G","F","B","F","C","C","C","C"
"C","F","G","A","C","G","B","H","B","C","B","F","C","C"
"U","G","C","B","C","G","H","H","B","C","C","G","C","B"
"B","G","G","B","G","C","B","H","B","C","B","F","C","C"
"U","G","C","H","G","G","B","H","B","B","C","G","C","C"
"U","G","G","B","G","G","H","H","B","B","B","H","C","G"
"U","G","C","G","G","G","B","H","B","G","B","F","G","B"
"U","F","C","B","G","G","H","H","H","B","B","F","C","B"
"U","F","C","B","G","G","B","A","B","C","B","N","C","C"
"B","G","G","B","G","G","B","G","B","F","C","G","C","C"
"B","G","C","F","G","G","H","G","B","F","B","F","C","C"
"U","F","C","B","G","G","A","A","B","C","B","H","C","C"
"U","F","C","B","G","G","G","C","A","F","B","C","C","U"
"U","F","G","B","C","G","G","A","B","B","B","F","C","B"
"U","F","G","B","G","G","A","A","B","B","C","G","C","C"
"U","G","G","B","G","G","U","A","U","G","C","H","G","G"
"B","G","C","G","C","G","B","H","B","C","B","F","G","B"
"B","G","G","A","G","G","A","H","B","C","C","G","C","G"
"B","G","C","B","G","G","A","G","F","C","C","G","C","G"
"U","G","C","B","G","G","H","G","B","G","B","G","G","C"
"B","F","C","B","C","C","H","H","B","G","B","H","C","C"
"B","F","C","B","G","G","A","H","B","C","C","G","G","G"
"B","G","G","A","G","G","A","G","A","F","C","C","C","C"
"U","F","G","B","G","G","G","H","B","C","C","G","C","U"
"U","F","G","B","G","G","H","H","B","G","C","H","G","B"
"G","G","C","G","C","G","H","G","C","G","B","H","G","B"
"U","F","C","B","G","G","G","A","B","G","C","N","C","C"
"B","G","G","B","C","G","B","H","B","C","B","F","C","C"
"U","G","G","B","G","G","B","F","B","G","C","F","C","C"
"U","G","C","B","G","G","B","H","G","F","C","F","C","C"
"U","G","G","C","C","U","G","H","B","C","C","H","G","C"
"U","G","G","B","G","G","A","A","B","F","B","C","C","C"
"U","F","C","B","G","C","H","G","B","G","B","H","G","H"
"G","F","C","B","G","G","B","G","B","F","B","C","G","H"
"U","C","G","B","C","G","H","A","U","C","B","H","C","G"
"U","C","C","B","G","G","B","A","U","G","B","N","G","C"
"B","G","C","B","G","G","A","G","B","C","C","F","C","G"
"U","G","C","B","G","G","B","G","B","C","C","G","C","C"
"B","G","C","C","G","G","C","G","B","C","C","G","C","C"
"U","F","G","C","G","U","C","A","B","C","B","N","C","G"
"B","F","G","B","G","G","B","G","B","B","B","C","G","C"
"U","G","G","C","G","G","H","H","B","B","B","F","C","G"
"U","F","C","C","G","U","A","A","B","C","B","N","C","U"
"U","G","G","B","G","G","C","F","B","G","B","F","C","C"
"B","G","C","B","C","G","H","G","B","B","B","H","G","H"
"C","G","G","B","G","G","H","B","B","B","B","F","C","C"
"U","F","G","B","G","G","B","F","B","G","B","F","C","C"
"G","G","C","H","G","U","A","G","B","B","B","H","C","G"
"U","F","C","B","G","G","A","A","B","G","C","C","G","C"
"B","G","C","B","G","G","U","G","B","C","B","G","C","C"
"U","G","C","B","G","G","B","H","B","G","B","F","C","C"
"U","F","G","U","G","U","A","U","B","G","B","N","C","U"
"B","G","C","B","G","G","B","H","A","H","B","H","C","C"
"U","G","G","B","G","G","G","A","B","F","B","H","G","H"
"U","G","C","B","G","G","B","H","B","G","C","G","G","G"
"U","F","C","C","G","G","H","H","A","B","B","N","C","U"
"U","F","G","B","G","U","B","A","B","C","B","N","C","C"
"U","G","C","B","G","G","B","F","B","C","C","H","C","G"
"B","G","C","B","G","G","C","G","B","G","C","G","C","G"
"U","G","G","B","G","G","U","C","B","B","C","G","C","C"
"U","F","G","B","C","G","H","H","H","G","B","F","C","C"
"G","G","C","B","C","G","A","G","B","C","C","G","C","C"
"U","F","G","B","G","G","B","H","B","F","B","H","C","C"
"U","G","G","B","G","G","B","H","B","F","B","H","C","B"
"B","G","C","B","C","G","H","G","B","G","B","F","G","C"
"U","F","C","B","G","U","H","F","B","C","C","N","C","C"
"B","G","C","B","G","G","A","H","A","G","C","G","C","B"
"U","G","G","B","G","G","B","F","B","C","C","F","C","H"
"U","U","U","B","C","U","U","A","U","C","B","N","C","C"
"U","F","C","B","G","U","B","A","U","C","C","N","C","C"
"U","F","C","B","C","G","B","G","B","F","B","F","C","U"
"U","F","C","B","G","U","G","F","B","F","B","H","C","G"
"U","G","G","G","G","G","G","F","B","B","C","F","G","G"
"U","F","G","B","G","G","G","A","B","G","B","C","C","C"
"B","G","C","B","G","G","A","A","B","F","C","C","C","C"
"C","G","G","B","G","G","H","A","B","G","C","H","C","G"
"U","F","G","B","G","G","A","A","B","B","B","N","C","G"
"U","G","G","C","G","G","G","H","B","C","C","G","C","C"
"U","G","C","C","C","G","G","F","B","B","C","G","C","H"
"U","G","G","B","G","G","C","H","B","G","B","H","G","C"
"U","F","C","B","G","G","G","A","B","F","B","H","G","C"
"U","G","C","B","G","G","A","A","B","G","C","C","C","C"
"U","G","G","B","G","U","C","H","G","C","C","G","C","C"
"B","G","C","B","G","G","G","F","B","G","B","H","C","B"
"U","G","G","B","G","G","U","G","B","G","C","G","C","H"
"U","F","G","B","C","U","G","A","U","G","B","H","C","C"
"U","G","G","B","G","G","H","F","F","C","C","F","C","G"
"U","F","G","B","G","G","U","G","B","C","C","G","C","U"
"U","F","C","B","G","G","H","G","B","F","B","F","C","C"
"U","G","C","B","G","G","G","G","B","C","C","F","C","C"
"B","G","G","B","G","G","H","A","B","B","B","F","C","B"
"U","G","C","A","G","G","H","H","B","G","C","G","C","C"
"U","G","G","B","G","G","A","H","B","B","B","H","C","C"
"B","F","G","B","G","G","B","A","U","B","B","C","C","U"
"U","F","G","B","G","U","C","H","B","C","C","H","C","U"
"U","G","G","B","G","G","A","F","B","F","C","G","C","G"
"U","G","G","F","G","G","U","G","B","F","B","F","C","C"
"U","F","C","B","C","U","U","F","B","C","C","H","G","C"
"G","G","C","B","G","G","A","A","B","B","C","G","C","C"
"U","F","G","B","G","G","H","F","H","G","C","H","C","C"
"B","G","C","F","C","G","H","H","B","B","C","F","C","C"
"U","F","G","U","G","U","H","U","U","C","B","N","C","C"
"U","G","C","A","G","G","B","H","B","C","B","H","C","B"
"U","G","G","B","C","C","C","F","F","G","B","H","G","C"
"U","G","G","B","C","G","B","A","F","F","B","F","C","B"
"U","G","G","B","G","G","G","F","B","G","C","F","C","C"
"U","G","C","C","C","G","A","G","B","C","C","G","C","C"
"G","G","C","F","G","G","U","H","G","C","C","G","C","C"
"U","G","C","B","G","G","B","F","U","G","B","F","C","C"
"U","G","G","B","G","G","G","F","F","F","B","F","C","B"
"U","F","G","B","G","G","G","F","B","C","C","G","C","G"
"U","G","G","B","G","U","U","H","B","C","C","G","C","C"
"U","F","G","B","G","U","B","A","B","G","A","N","C","U"
"B","F","G","B","G","G","H","F","B","G","B","H","C","H"
"B","G","C","B","G","G","G","F","B","C","C","G","C","C"
"B","G","G","B","G","G","H","F","B","C","C","F","C","C"
"B","G","C","C","G","G","A","G","B","F","C","H","C","B"
"B","G","C","A","G","G","B","G","B","B","C","G","C","G"
"B","F","C","C","G","G","A","A","B","C","C","N","C","U"
"C","G","G","A","G","G","G","H","B","B","C","F","C","C"
"B","G","C","A","C","G","H","H","B","B","C","F","G","C"
"U","G","C","B","G","G","B","B","B","G","C","G","C","C"
"U","F","C","B","G","G","A","A","B","G","B","C","G","C"
"B","G","C","C","G","G","H","G","U","C","B","H","C","C"
"B","G","C","B","G","G","A","F","B","C","C","F","C","C"
"B","G","G","B","C","G","H","H","B","F","B","H","G","B"
"U","G","G","B","G","U","G","F","B","C","C","H","C","U"
"U","F","G","B","G","G","A","H","B","B","B","F","G","H"
"G","G","C","B","G","G","G","H","B","G","C","H","C","C"
"B","G","C","B","G","G","H","H","B","C","B","G","C","C"
"U","F","G","B","G","G","H","H","B","F","C","N","G","G"
"U","G","G","B","G","G","A","G","B","B","B","F","C","C"
"G","G","C","B","G","G","A","H","B","G","C","G","G","G"
"B","G","C","B","C","G","B","H","B","F","B","H","G","G"
"U","G","G","B","C","G","B","F","B","G","B","H","G","B"
"B","G","G","B","G","G","A","G","B","F","B","H","C","C"
"B","G","C","B","C","G","G","F","B","B","C","H","G","G"
"B","G","G","B","G","G","A","A","B","B","B","F","G","C"
"U","G","G","B","G","G","G","C","B","G","B","F","C","C"
"U","G","G","B","G","G","H","F","B","C","C","G","C","C"
"U","C","C","B","G","G","H","A","B","F","B","N","C","B"
"B","G","C","B","G","G","A","G","B","F","C","G","C","C"
"U","G","C","B","G","G","A","G","B","C","C","G","C","C"
"C","G","G","C","C","G","G","F","F","F","B","H","C","B"
"U","C","G","U","G","G","G","U","B","B","B","C","C","C"
"U","G","C","B","G","G","A","G","B","B","B","H","C","U"
"U","G","G","B","G","G","B","H","U","B","B","C","C","C"
"U","G","C","A","G","G","U","F","B","B","C","G","C","H"
"U","G","G","B","G","G","A","G","A","B","B","H","G","C"
"B","F","C","B","C","G","B","F","A","B","B","F","G","C"
"U","G","G","G","G","G","A","C","B","B","B","H","G","C"
"U","F","G","B","G","G","G","F","G","F","C","G","G","C"
"U","F","G","B","G","G","G","H","B","G","C","H","G","C"
"B","F","C","B","G","U","C","G","B","F","C","H","G","G"
"C","G","G","G","G","G","G","G","B","C","C","G","C","C"
"U","F","C","B","G","U","G","A","B","B","B","C","C","B"
"U","G","C","H","G","G","B","G","B","C","C","G","G","C"
"B","F","C","A","G","G","B","G","B","B","C","G","C","C"
"B","G","C","C","G","G","H","G","B","B","C","F","C","C"
"U","G","G","B","G","G","G","F","A","C","C","F","C","G"
"U","G","C","B","G","G","B","H","B","F","C","C","C","C"
"U","G","G","B","C","G","C","F","F","B","B","F","G","C"
"U","U","U","U","G","U","U","U","U","B","C","N","C","C"
"U","F","G","B","G","G","B","H","A","F","C","F","C","C"
"U","F","G","B","G","G","G","A","U","H","C","G","C","H"
"U","F","G","B","G","U","C","A","B","B","B","H","G","C"
"U","G","C","B","G","G","C","G","G","B","C","G","C","C"
"U","F","C","H","G","G","B","F","B","B","B","H","C","C"
"B","G","C","A","C","G","C","G","B","G","B","F","G","B"
"G","G","G","B","G","G","G","G","G","B","C","G","C","C"
"U","F","C","B","G","G","B","H","B","F","B","C","C","B"
"U","C","C","B","G","G","G","F","G","G","C","C","C","B"
"B","F","G","H","G","G","H","G","B","F","B","F","C","G"
"B","G","G","B","C","G","G","H","B","B","C","H","C","C"
"U","G","G","B","G","G","U","F","B","B","C","F","C","C"
"U","G","C","B","G","G","H","G","B","G","B","F","G","C"
"U","F","C","B","G","G","G","H","C","F","B","H","C","B"
"G","G","G","B","G","G","G","F","B","C","C","H","C","C"
"U","F","G","B","G","U","U","A","B","B","B","H","C","U"
"B","G","C","B","G","G","A","G","B","C","C","G","C","C"
"U","F","G","U","G","U","H","U","U","G","B","N","G","G"
"U","U","U","U","C","U","U","U","U","F","F","N","C","U"
"U","F","G","U","G","G","H","U","U","B","B","N","G","C"
"B","G","G","B","G","G","B","G","B","B","B","F","C","C"
"B","G","C","C","G","C","H","F","B","C","C","F","C","C"
"B","G","G","G","G","G","H","H","B","G","B","F","C","C"
"U","G","G","B","G","G","B","A","U","C","B","N","C","U"
"U","G","C","B","G","G","B","H","B","G","B","H","C","B"
"U","G","C","H","G","G","G","G","B","B","C","H","C","C"
"U","F","C","B","C","C","G","H","B","C","C","H","C","C"
"U","F","G","B","G","C","G","F","B","B","B","F","G","H"
"U","G","C","B","G","G","A","A","B","G","C","C","G","C"
"B","G","C","A","G","G","H","G","B","F","B","F","G","G"
"U","F","C","B","G","G","A","F","B","B","C","F","G","C"
"B","F","G","B","G","G","B","A","B","B","C","G","G","C"
"U","F","C","U","G","G","B","U","U","F","B","N","C","H"
"U","F","G","A","G","G","G","H","C","B","C","C","C","C"
"B","F","G","H","G","G","B","G","B","F","B","F","C","B"
"B","G","G","B","G","G","U","G","B","F","B","H","G","C"
"U","G","G","B","G","G","A","A","B","B","B","C","C","C"
"U","F","G","G","G","G","C","H","B","C","C","G","C","C"
"B","G","C","H","G","U","H","G","B","F","B","H","G","U"
"U","G","G","G","C","G","B","H","B","G","B","F","C","C"
"B","F","C","H","G","G","C","G","B","F","B","G","G","C"
"U","F","C","B","G","G","C","A","U","B","C","H","G","C"
"U","G","G","B","G","G","U","A","G","G","C","G","C","C"
"B","G","G","G","G","G","A","G","B","F","C","F","G","G"
"U","G","C","G","G","G","G","G","B","B","C","G","C","C"
"U","G","G","B","G","G","B","G","B","G","C","G","C","H"
"U","F","C","B","G","G","H","C","H","F","C","G","C","C"
"U","G","G","B","C","G","U","H","B","B","C","F","C","C"
"U","F","C","B","G","G","H","F","B","B","B","N","G","C"
"U","F","G","U","G","G","G","U","U","B","A","N","C","G"
"U","F","G","B","G","G","A","G","B","F","B","F","C","U"
"B","G","C","G","C","G","H","B","B","G","C","H","C","C"
"U","F","C","C","G","G","H","A","B","C","B","N","C","C"
"U","G","G","B","G","G","H","H","B","C","C","G","C","G"
"B","G","C","B","G","G","B","G","B","B","B","C","G","C"
"B","G","G","H","G","G","B","H","B","G","C","G","G","G"
"B","G","C","B","G","G","A","G","B","F","B","H","C","G"
"U","G","C","H","G","G","H","G","B","F","B","C","G","C"
"U","G","C","B","G","G","H","A","B","G","C","G","G","H"
"U","G","C","B","G","G","A","G","B","F","C","H","C","U"
"U","G","C","F","G","G","H","G","B","G","B","F","G","C"
"B","F","G","C","G","G","B","G","B","F","C","H","C","C"
"U","G","C","B","G","G","B","F","B","B","B","H","C","C"
"U","G","G","B","G","U","H","H","B","F","B","N","C","G"
"U","G","G","B","G","G","B","F","B","C","B","F","C","C"
"U","G","C","A","G","G","G","H","B","C","C","G","C","G"
"U","G","G","C","G","G","A","H","B","G","B","H","G","H"
"U","F","C","B","G","G","A","G","B","F","B","H","G","G"
"B","G","C","B","C","G","B","A","B","B","B","F","C","C"
"B","G","C","C","G","C","H","F","B","F","C","F","C","U"
"B","G","C","B","G","G","H","A","B","C","C","F","C","G"
"U","F","C","H","G","G","H","G","B","C","C","G","C","C"
"B","G","C","B","C","G","H","F","B","B","B","H","G","C"
"B","G","C","C","G","G","A","G","A","C","C","F","C","C"
"U","G","C","B","G","G","U","F","B","B","B","F","C","C"
"U","G","G","G","G","G","A","H","B","G","B","F","G","G"
"U","F","C","B","G","G","A","A","B","C","B","H","C","B"
"U","F","G","B","G","G","B","A","B","B","B","C","G","B"
"U","G","C","B","G","G","G","F","F","B","C","H","C","C"
"B","G","C","B","G","G","A","G","A","C","C","G","C","C"
"B","G","G","B","G","G","B","G","B","B","C","F","G","G"
"C","G","G","B","G","G","B","F","B","B","B","F","G","G"
"B","G","G","B","G","G","B","F","B","F","B","C","G","B"
"U","F","C","A","G","G","A","G","H","C","C","G","C","C"
"U","G","C","A","G","G","A","F","G","C","B","F","C","C"
"U","G","G","B","G","U","B","A","B","G","B","C","C","C"
"U","F","G","B","G","G","G","F","B","F","B","F","G","C"
"B","G","G","B","G","G","H","A","B","C","C","G","C","C"
"U","G","C","F","G","G","B","F","B","G","B","F","G","C"
"U","F","C","B","G","G","A","G","B","F","B","F","G","G"
"U","G","G","B","G","G","G","H","B","B","C","G","C","G"
"U","F","G","H","G","G","B","G","B","C","B","G","C","U"
"U","G","G","B","G","G","G","H","B","G","B","F","C","C"
"B","F","G","C","C","U","H","H","B","C","C","G","G","C"
"C","F","G","B","G","G","H","F","B","F","C","G","G","C"
"B","F","G","B","G","U","U","F","B","B","B","H","G","C"
"U","G","G","G","G","G","A","G","B","F","C","F","C","C"
"U","G","C","B","G","G","A","G","B","C","C","G","C","C"
"U","F","C","U","C","U","H","U","B","F","B","N","C","U"
"U","G","G","B","G","G","B","F","B","C","B","F","C","U"
"U","G","C","B","C","G","H","A","B","G","C","H","C","B"
"B","G","C","H","G","G","A","G","B","B","C","G","G","G"
"B","G","C","B","G","G","A","G","B","B","B","F","G","G"
"U","F","C","B","G","U","U","H","B","B","B","N","C","C"
"U","G","G","B","C","G","G","H","F","F","B","H","G","H"
"U","F","G","C","G","G","G","A","B","F","B","H","G","C"
"U","G","G","F","G","U","A","C","B","B","C","G","G","G"
"U","G","G","B","G","U","U","F","B","F","B","C","C","C"
"U","C","G","B","C","U","U","A","G","C","C","H","C","G"
"B","G","C","B","C","C","A","A","B","F","B","G","G","B"
"U","F","G","B","G","C","G","A","U","C","C","H","C","U"
"U","G","G","C","G","G","B","F","B","C","C","N","C","U"
"U","F","G","H","G","G","G","H","B","C","C","G","C","C"
"U","C","C","B","G","G","A","G","B","G","B","H","G","C"
"B","G","C","H","G","G","H","G","B","B","C","H","C","C"
"B","G","G","B","C","U","A","C","B","C","C","H","C","G"
"U","F","G","B","C","G","G","F","B","F","B","H","C","C"
"U","G","G","B","G","G","A","G","B","G","B","C","C","C"
"G","G","C","B","C","C","B","G","B","G","C","H","C","C"
"U","G","C","H","C","G","B","F","B","C","C","G","C","G"
"U","G","G","B","G","G","C","G","B","C","C","F","C","C"
"B","G","C","C","G","G","H","H","B","C","C","G","C","C"
"U","U","U","B","C","U","U","A","B","G","B","N","C","C"
"B","G","C","B","G","G","A","C","B","C","C","G","C","C"
"U","G","G","A","C","G","B","G","B","F","B","F","C","B"
"B","G","C","B","G","G","F","B","B","B","B","C","C","C"
"U","G","C","B","G","G","A","F","B","B","B","F","C","H"
"B","G","C","B","G","G","B","H","B","F","B","C","C","H"
"B","G","G","B","G","G","H","G","B","B","B","F","C","C"
"B","F","G","B","G","G","B","F","B","F","C","F","G","G"
"U","G","G","F","G","G","B","G","B","C","C","G","C","H"
"B","G","G","C","C","G","H","H","B","B","B","C","G","C"
"B","G","C","B","G","G","A","G","B","C","C","C","C","C"
"B","G","C","B","G","U","H","G","B","C","C","H","C","U"
"B","G","C","B","C","G","H","A","G","C","B","C","C","G"
"U","G","G","B","G","G","B","A","B","F","B","H","C","C"
"B","G","C","C","G","G","C","G","B","F","B","G","G","C"
"U","G","C","H","G","G","G","G","B","G","B","F","C","B"
"U","G","G","B","G","G","B","F","B","G","C","G","C","B"
"U","G","G","B","G","U","B","G","A","G","C","G","G","C"
"U","G","G","B","G","G","H","A","B","F","C","N","C","C"
"U","F","C","B","G","G","G","A","B","G","B","F","C","C"
"U","F","C","B","C","G","B","H","B","G","B","H","C","B"
"B","G","G","A","C","G","A","C","H","B","B","F","C","C"
"G","G","C","H","G","G","A","G","B","B","C","G","C","C"
"U","G","G","B","G","U","U","A","U","C","C","H","C","G"
"U","C","C","U","G","G","B","U","U","C","B","N","C","C"
"U","G","G","B","G","G","U","A","G","C","C","G","C","U"
"B","G","C","B","G","G","A","F","F","G","B","G","C","C"
"U","F","C","B","G","G","H","G","B","F","C","F","C","C"
"U","F","C","B","G","G","H","A","B","B","C","C","C","C"
"U","G","G","B","G","G","H","H","B","F","B","F","C","C"
"B","G","C","B","G","G","H","F","C","F","C","G","C","G"
"B","G","C","G","G","G","H","A","F","B","C","N","C","C"
"U","U","U","U","C","U","U","U","B","B","F","N","C","C"
"U","G","C","H","G","G","H","G","B","C","C","G","C","C"
"U","F","C","B","G","G","H","G","B","C","C","H","G","H"
"U","G","G","B","G","G","A","H","B","F","C","G","G","G"
"B","G","G","A","G","G","H","H","B","C","C","G","C","G"
"U","C","C","U","C","U","H","U","B","H","B","N","G","C"
"U","G","G","B","G","G","A","H","B","C","B","H","C","H"
"B","G","C","A","G","G","H","G","B","C","C","G","C","C"
"U","G","C","B","G","G","H","A","B","F","C","H","G","C"
"B","G","G","H","G","G","A","G","B","C","C","C","C","C"
"B","G","C","B","G","G","H","A","H","G","B","F","G","C"
"U","G","C","B","G","G","A","A","B","G","B","C","G","G"
"B","G","G","B","C","C","C","H","B","C","C","G","C","G"
"U","F","G","B","G","G","U","G","B","B","C","H","C","C"
"G","G","C","B","C","G","H","H","B","C","B","C","C","U"
"U","G","C","B","G","G","H","G","B","B","B","F","C","C"
"C","G","C","B","G","G","A","G","B","B","B","H","C","C"
"U","G","C","C","G","G","H","H","B","C","B","F","G","G"
"U","F","C","U","C","U","H","U","B","G","B","N","C","C"
"U","U","U","B","G","U","U","A","B","B","B","N","G","C"
